INFO: Waiting for solution ...
INFO: Algorithm took 0.106 seconds.
INFO: Step 136 - from (5, 6) to (1, 6) ; cost 4
INFO: Step 137 - from (1, 6) to (1, 0) ; cost 6
INFO: Step 138 - from (1, 0) to (5, 0) ; cost 4
INFO: Step 139 - from (0, 6) to (0, 0) ; cost 6
INFO: Step 140 - from (0, 0) to (4, 0) ; cost 4
INFO: Step 141 - from (4, 0) to (0, 0) ; cost 4
INFO: Step 142 - from (0, 0) to (0, 6) ; cost 6
INFO: Step 143 - from (5, 0) to (5, 3) ; cost 3
INFO: Step 144 - from (5, 3) to (5, 0) ; cost 3
INFO: Step 145 - from (0, 6) to (0, 0) ; cost 6
INFO: Step 146 - from (5, 0) to (1, 0) ; cost 4
INFO: Step 147 - from (1, 0) to (1, 6) ; cost 6
INFO: Step 148 - from (1, 6) to (0, 6) ; cost 1
INFO: Step 149 - from (0, 0) to (0, 5) ; cost 5
INFO: Step 150 - from (0, 6) to (5, 6) ; cost 5
INFO: Step 151 - from (0, 5) to (0, 0) ; cost 5
INFO: Step 152 - from (0, 0) to (5, 0) ; cost 5
INFO: Step 153 - from (5, 6) to (0, 6) ; cost 5
INFO: Step 154 - from (5, 0) to (5, 3) ; cost 3
INFO: Step 155 - from (5, 3) to (0, 3) ; cost 5
INFO: Step 156 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 157 - from (0, 0) to (0, 5) ; cost 5
INFO: Step 158 - from (0, 6) to (5, 6) ; cost 5
INFO: Step 159 - from (5, 6) to (5, 5) ; cost 1
INFO: Step 160 - from (5, 5) to (1, 5) ; cost 4
INFO: Step 161 - from (1, 5) to (5, 5) ; cost 4
INFO: Step 162 - from (0, 5) to (4, 5) ; cost 4
INFO: Step 163 - from (4, 5) to (4, 0) ; cost 5
INFO: Step 164 - from (4, 0) to (0, 0) ; cost 4
INFO: Step 165 - from (0, 0) to (0, 6) ; cost 6
INFO: Step 166 - from (0, 6) to (0, 0) ; cost 6
INFO: Step 167 - from (5, 5) to (5, 6) ; cost 1
INFO: Step 168 - from (5, 6) to (5, 5) ; cost 1
INFO: Step 169 - from (5, 5) to (0, 5) ; cost 5
INFO: Step 170 - from (0, 5) to (5, 5) ; cost 5
INFO: Step 171 - from (5, 5) to (0, 5) ; cost 5
INFO: Step 172 - from (0, 5) to (0, 1) ; cost 4
INFO: Step 173 - from (0, 1) to (0, 6) ; cost 5
INFO: Step 174 - from (0, 0) to (0, 5) ; cost 5
INFO: Step 175 - from (0, 5) to (5, 5) ; cost 5
INFO: Step 176 - from (0, 6) to (0, 0) ; cost 6
INFO: Step 177 - from (5, 5) to (5, 6) ; cost 1
INFO: Step 178 - from (5, 6) to (5, 5) ; cost 1
INFO: Step 179 - from (5, 5) to (0, 5) ; cost 5
INFO: Step 180 - from (0, 5) to (0, 1) ; cost 4
INFO: Step 181 - from (0, 0) to (5, 0) ; cost 5
INFO: Step 182 - from (0, 1) to (0, 0) ; cost 1
INFO: Step 183 - from (0, 0) to (4, 0) ; cost 4
